ticker,volume,open,close,high,low,window_start,transactions
O:AA251219C00051000,5,0.12,0.06,0.12,0.06,1765861200000000000,3
O:AA251219C00052000,29,0.08,0.01,0.09,0.01,1765861200000000000,8
O:AA251219C00056000,21,0.02,0.02,0.02,0.02,1765861200000000000,1
O:AA251219C00058000,2,0.01,0.01,0.01,0.01,1765861200000000000,1
O:AA251219P00020000,3,0.01,0.01,0.01,0.01,1765861200000000000,3
O:AA251219P00022500,2,0.01,0.01,0.01,0.01,1765861200000000000,2
O:AA251219P00025000,1,0.02,0.02,0.02,0.02,1765861200000000000,1
O:AA251219P00026000,1,0.07,0.07,0.07,0.07,1765861200000000000,1
O:AA251219P00029000,1,0.05,0.05,0.05,0.05,1765861200000000000,1
O:AA251219P00036000,2,0.03,0.03,0.03,0.03,1765861200000000000,1
O:AA251219P00036500,52,0.02,0.01,0.02,0.01,1765861200000000000,10
O:AA251219P00037000,22,0.01,0.02,0.02,0.01,1765861200000000000,2
O:AA251219P00038000,150,0.01,0.01,0.01,0.01,1765861200000000000,7
O:AA251219P00038500,2,0.55,0.14,0.55,0.14,1765861200000000000,2
O:AA251219P00039000,13,0.03,0.01,0.59,0.01,1765861200000000000,7
O:AA251219P00039500,5,0.06,0.06,0.06,0.04,1765861200000000000,5
O:AA251219P00040000,103,0.02,0.03,0.1,0.02,1765861200000000000,12
O:AA251219P00040500,20,0.06,0.07,0.07,0.06,1765861200000000000,20
O:AA251219P00041000,14,0.1,0.05,0.1,0.04,1765861200000000000,6
O:AA251219P00041500,34,0.07,0.06,0.08,0.05,1765861200000000000,12
O:AA251219P00042000,12,0.1,0.06,0.12,0.06,1765861200000000000,4
O:AA251219P00042500,5,0.1,0.19,0.19,0.08,1765861200000000000,3
O:AA251219P00043000,5,0.11,0.12,0.14,0.11,1765861200000000000,4
O:AA251219P00043500,3,0.19,0.19,0.19,0.19,1765861200000000000,1
O:AA251219P00044000,21,0.26,0.16,0.26,0.16,1765861200000000000,3
O:AA251219P00044500,55,0.28,0.29,0.29,0.28,1765861200000000000,2
O:AA251219P00045000,22,0.3,0.32,0.53,0.3,1765861200000000000,10
O:AA251219P00045500,13,1,0.46,1,0.46,1765861200000000000,7
O:AA251219P00046000,78,1.08,0.73,1.08,0.73,1765861200000000000,28
O:AA251219P00046500,17,1.42,0.96,1.42,0.96,1765861200000000000,16
O:AA251219P00047000,59,1.39,1.12,1.62,1.12,1765861200000000000,23
O:AA251219P00047500,1,1.44,1.44,1.44,1.44,1765861200000000000,1
O:AA251219P00049000,1,3.07,3.07,3.07,3.07,1765861200000000000,1
O:AA251219P00051000,2,5.06,4.89,5.06,4.89,1765861200000000000,2
O:AA251226C00040500,2,5.84,5.87,5.87,5.84,1765861200000000000,2
O:AA251226C00041000,2,5.57,5.57,5.57,5.57,1765861200000000000,2
O:AA251226C00042000,9,4.68,4.62,4.68,4.55,1765861200000000000,5
O:AA251226C00042500,4,4.06,4.11,4.13,4.06,1765861200000000000,4
O:AA251226C00043000,2,3.62,3.62,3.62,3.62,1765861200000000000,2
O:AA251226C00044500,1,2.01,2.01,2.01,2.01,1765861200000000000,1
O:AA251226C00045000,4,1.9,2.33,2.33,1.9,1765861200000000000,4
O:AA251226C00045500,8,1.63,1.63,1.63,1.63,1765861200000000000,1
O:AA251226C00046000,51,1.6,1.49,1.6,1.3,1765861200000000000,12
O:AA251226C00046500,30,1.23,1.38,1.38,0.96,1765861200000000000,8
O:AA251226C00047000,55,1.38,1.13,1.38,0.8,1765861200000000000,11
O:AA251226C00047500,8,0.71,0.92,0.95,0.71,1765861200000000000,4
O:AA251226C00048000,2,0.73,0.68,0.73,0.68,1765861200000000000,2
O:AA251226C00048500,46,0.72,0.6,0.72,0.4,1765861200000000000,6
O:AA251226C00049000,6,0.37,0.4,0.4,0.33,1765861200000000000,4
O:AA251226C00049500,4,0.27,0.3,0.3,0.26,1765861200000000000,3
O:AA251226C00050000,16,0.36,0.16,0.36,0.16,1765861200000000000,9
O:AA251226C00052000,3,0.2,0.2,0.2,0.2,1765861200000000000,1
O:AA251226C00053000,8,0.29,0.12,0.29,0.11,1765861200000000000,3
O:AA251226C00055000,1,0.07,0.07,0.07,0.07,1765861200000000000,1
O:AA251226P00036000,2,0.06,0.06,0.06,0.06,1765861200000000000,1
O:AA251226P00040000,30,0.01,0.12,0.16,0.01,1765861200000000000,8
O:AA251226P00041000,3,0.22,0.22,0.22,0.22,1765861200000000000,1
O:AA251226P00042000,12,0.31,0.31,0.31,0.15,1765861200000000000,4
O:AA251226P00043000,2,0.26,0.28,0.28,0.26,1765861200000000000,2
O:AA251226P00043500,5,0.4,0.4,0.4,0.4,1765861200000000000,1
O:AA251226P00044000,7,0.54,0.55,0.55,0.52,1765861200000000000,3
O:AA251226P00044500,1,0.58,0.58,0.58,0.58,1765861200000000000,1
O:AA251226P00045500,30,1.03,0.79,1.1,0.79,1765861200000000000,11
O:AA251226P00046000,5,1.15,1.1,1.39,1.1,1765861200000000000,5
O:AA251226P00046500,6,1.39,1.49,1.49,1.39,1765861200000000000,2
O:AA251226P00047000,4,1.85,1.78,1.85,1.78,1765861200000000000,2
O:AA251226P00047500,4,2,1.79,2,1.75,1765861200000000000,4
O:AA251226P00052000,2,5.83,5.98,5.98,5.83,1765861200000000000,2
O:AA251226P00054000,2,7.87,7.55,7.87,7.55,1765861200000000000,2
O:AA260102C00040000,5,6.48,6.48,6.48,6.48,1765861200000000000,2
O:AA260102C00045000,6,2.13,2.66,2.66,2.13,1765861200000000000,2
O:AA260102C00045500,11,1.99,1.99,1.99,1.99,1765861200000000000,1
O:AA260102C00046000,11,1.68,1.98,1.98,1.68,1765861200000000000,5
O:AA260102C00047500,13,1.37,1.06,1.37,1.05,1765861200000000000,3
O:AA260102C00048000,2,0.88,0.93,0.93,0.88,1765861200000000000,2
O:AA260102C00049000,1,0.56,0.56,0.56,0.56,1765861200000000000,1
O:AA260102C00050000,11,0.41,0.57,0.57,0.41,1765861200000000000,2
O:AA260102C00055000,5,0.38,0.38,0.38,0.38,1765861200000000000,1
O:AA260102P00040000,1,0.13,0.13,0.13,0.13,1765861200000000000,1
O:AA260102P00045000,3,1.21,1.21,1.21,1.21,1765861200000000000,1
O:AA260102P00045500,26,1.38,1.43,1.43,1.36,1765861200000000000,8
O:AA260102P00046000,11,1.63,1.57,1.63,1.57,1765861200000000000,2
O:AA260102P00055000,1,8.47,8.47,8.47,8.47,1765861200000000000,1
O:AA260102P00058000,2,11.88,11.91,11.91,11.88,1765861200000000000,2
O:AA260109C00042000,1,5,5,5,5,1765861200000000000,1
O:AA260109C00045000,7,3.04,3.05,3.05,2.58,1765861200000000000,6
O:AA260109C00046000,5,2.25,2.48,2.48,2.1,1765861200000000000,5
O:AA260109C00047000,3,1.57,1.61,1.61,1.57,1765861200000000000,2
O:AA260109C00048000,5,1.25,1.25,1.25,1.25,1765861200000000000,5
O:AA260109C00049000,7,1.02,0.96,1.02,0.96,1765861200000000000,2
O:AA260109C00050000,2,0.8,0.8,0.8,0.8,1765861200000000000,2
O:AA260109C00051000,5,0.63,0.52,0.63,0.52,1765861200000000000,2
O:AA260109C00052000,1,0.44,0.44,0.44,0.44,1765861200000000000,1
O:AA260109C00055000,30,0.18,0.18,0.18,0.18,1765861200000000000,1
O:AA260109P00042000,4,0.56,0.56,0.56,0.56,1765861200000000000,1
O:AA260109P00043000,4,0.76,0.76,0.76,0.76,1765861200000000000,1
O:AA260109P00046000,10,1.81,2.03,2.03,1.81,1765861200000000000,2
O:AA260109P00059000,1,12.92,12.92,12.92,12.92,1765861200000000000,1
O:AA260116C00030000,1,16.5,16.5,16.5,16.5,1765861200000000000,1
O:AA260116C00035000,13,12,11.25,12,11.24,1765861200000000000,7
O:AA260116C00040000,69,6.8,7.05,7.05,6.55,1765861200000000000,4
O:AA260116C00041000,8,6.15,6.15,6.15,6.15,1765861200000000000,2
O:AA260116C00043000,15,4.1,5.1,5.1,4.1,1765861200000000000,2
O:AA260116C00044000,64,3.64,3.6,4.04,3.55,1765861200000000000,12
O:AA260116C00045000,1215,3.16,3.45,3.77,2.89,1765861200000000000,289
O:AA260116C00046000,85,2.83,2.71,2.83,2.4,1765861200000000000,19
O:AA260116C00047000,106,2.42,2.4,2.42,1.97,1765861200000000000,21
O:AA260116C00048000,41,1.88,1.56,1.94,1.54,1765861200000000000,11
O:AA260116C00049000,39,1.46,1.55,1.55,1.28,1765861200000000000,7
O:AA260116C00050000,163,1.16,1.14,1.4,1,1765861200000000000,20
O:AA260116C00055000,5,0.36,0.36,0.36,0.36,1765861200000000000,2
O:AA260116C00060000,6,0.12,0.14,0.14,0.12,1765861200000000000,2
O:AA260116P00015000,1,0.01,0.01,0.01,0.01,1765861200000000000,1
O:AA260116P00017500,25,0.01,0.01,0.01,0.01,1765861200000000000,1
O:AA260116P00020000,1,0.19,0.19,0.19,0.19,1765861200000000000,1
O:AA260116P00022500,1,0.03,0.03,0.03,0.03,1765861200000000000,1
O:AA260116P00030000,1,0.04,0.04,0.04,0.04,1765861200000000000,1
O:AA260116P00033000,9,0.08,0.08,0.08,0.08,1765861200000000000,1
O:AA260116P00035000,23,0.33,0.12,0.33,0.08,1765861200000000000,9
O:AA260116P00037000,5,0.2,0.2,0.2,0.2,1765861200000000000,1
O:AA260116P00038000,30,0.31,0.31,0.31,0.31,1765861200000000000,1
O:AA260116P00039000,10,0.37,0.37,0.37,0.37,1765861200000000000,1
O:AA260116P00040000,83,0.47,0.44,0.54,0.43,1765861200000000000,11
O:AA260116P00041000,3,0.62,0.62,0.62,0.6,1765861200000000000,3
O:AA260116P00042000,58,0.93,0.75,0.95,0.75,1765861200000000000,7
O:AA260116P00043000,5,1.22,1.15,1.22,1.15,1765861200000000000,5
O:AA260116P00044000,17,1.5,1.28,1.52,1.28,1765861200000000000,5
O:AA260116P00045000,29,1.74,1.9,1.91,1.74,1765861200000000000,8
O:AA260116P00046000,41,2.27,2.2,2.34,2.2,1765861200000000000,14
O:AA260116P00047000,158,2.81,2.75,3,2.75,1765861200000000000,13
O:AA260116P00048000,17,3.5,3.35,3.5,3.35,1765861200000000000,2
O:AA260116P00049000,14,3.9,3.95,3.95,3.9,1765861200000000000,2
O:AA260116P00050000,1,4.85,4.85,4.85,4.85,1765861200000000000,1
O:AA260123C00036000,1,10.46,10.46,10.46,10.46,1765861200000000000,1
O:AA260123C00044000,3,4.37,4.37,4.37,4.37,1765861200000000000,1
O:AA260123C00045000,3,3.37,3.3,3.37,3.2,1765861200000000000,3
O:AA260123C00046000,3,3.25,3.25,3.25,3.25,1765861200000000000,1
O:AA260123C00049000,30,1.89,1.89,1.89,1.89,1765861200000000000,1
O:AA260123C00050000,1,1.36,1.36,1.36,1.36,1765861200000000000,1
O:AA260123C00053000,3,0.85,1.01,1.01,0.85,1765861200000000000,2
O:AA260123P00038000,30,0.48,0.48,0.48,0.48,1765861200000000000,1
O:AA260123P00040000,25,0.77,0.77,0.77,0.77,1765861200000000000,2
O:AA260130C00043000,6,5.3,5.3,5.3,5.3,1765861200000000000,1
O:AA260130C00044000,1,4.35,4.35,4.35,4.35,1765861200000000000,1
O:AA260130C00047000,18,2.85,2.67,2.92,2.67,1765861200000000000,4
O:AA260130C00048000,2,2.75,2.29,2.75,2.29,1765861200000000000,2
O:AA260130C00053000,20,1.09,1.09,1.09,1.09,1765861200000000000,1
O:AA260130P00040000,27,0.9,0.89,0.9,0.89,1765861200000000000,4
O:AA260130P00041000,2,0.84,1.27,1.27,0.84,1765861200000000000,2
O:AA260130P00042000,2,1.22,1.55,1.55,1.22,1765861200000000000,2
O:AA260130P00044000,1,1.95,1.95,1.95,1.95,1765861200000000000,1
O:AA260130P00045000,1,2.5,2.5,2.5,2.5,1765861200000000000,1
O:AA260130P00046000,1,2.8,2.8,2.8,2.8,1765861200000000000,1
O:AA260130P00047000,3,3.35,3.6,3.6,3.35,1765861200000000000,3
O:AA260220C00035000,8,12.35,11.83,12.35,11.83,1765861200000000000,3
O:AA260220C00039000,1,8.52,8.52,8.52,8.52,1765861200000000000,1
O:AA260220C00044000,15,5.1,5.35,5.8,5.1,1765861200000000000,9
O:AA260220C00045000,10,4.77,4.8,4.8,4.47,1765861200000000000,5
O:AA260220C00046000,8,4.05,3.85,4.05,3.85,1765861200000000000,2
O:AA260220C00047000,15,3.71,3.3,3.71,3.3,1765861200000000000,6
O:AA260220C00048000,38,3.2,2.9,3.2,2.86,1765861200000000000,8
O:AA260220C00049000,1,2.5,2.5,2.5,2.5,1765861200000000000,1
O:AA260220C00050000,13,2.46,2.44,2.46,2.18,1765861200000000000,4
O:AA260220C00055000,12,1.23,1.27,1.27,1.23,1765861200000000000,2
O:AA260220C00060000,38,0.7,0.6,0.7,0.49,1765861200000000000,5
O:AA260220C00065000,70,0.3,0.31,0.31,0.3,1765861200000000000,2
O:AA260220P00030000,8,0.16,0.09,0.16,0.09,1765861200000000000,8
O:AA260220P00035000,23,0.42,0.45,0.51,0.42,1765861200000000000,12
O:AA260220P00040000,6,1.3,1.22,1.3,1.22,1765861200000000000,5
O:AA260220P00043000,5,2.08,2.08,2.08,2.08,1765861200000000000,1
O:AA260220P00044000,2,2.63,2.64,2.64,2.63,1765861200000000000,2
O:AA260220P00045000,1,3.1,3.1,3.1,3.1,1765861200000000000,1
O:AA260220P00046000,19,3.45,3.6,3.6,3.45,1765861200000000000,3
O:AA260220P00047000,12,3.85,4.15,4.15,3.85,1765861200000000000,4
O:AA260220P00048000,28,4.4,4.7,4.7,4.4,1765861200000000000,7
O:AA260220P00049000,29,5,5.15,5.15,5,1765861200000000000,5
O:AA260220P00050000,9,5.75,5.75,5.75,5.55,1765861200000000000,5
O:AA260320C00030000,1,16.38,16.38,16.38,16.38,1765861200000000000,1
O:AA260320C00039000,1,9.14,9.14,9.14,9.14,1765861200000000000,1
O:AA260320C00040000,6,8.19,8.3,8.3,8.19,1765861200000000000,2
O:AA260320C00045000,89,5.15,5.65,5.65,5.15,1765861200000000000,10
O:AA260320C00046000,7,4.65,4.9,4.9,4.65,1765861200000000000,2
O:AA260320C00047000,60,4.2,4.6,4.6,4.15,1765861200000000000,28
O:AA260320C00048000,69,3.7,4.15,4.15,3.7,1765861200000000000,40
O:AA260320C00049000,100,3.4,3.7,3.7,3.35,1765861200000000000,35
O:AA260320C00050000,103,2.93,3.3,3.3,2.93,1765861200000000000,37
O:AA260320C00055000,74,1.8,1.78,1.8,1.61,1765861200000000000,10
O:AA260320C00060000,1,0.9,0.9,0.9,0.9,1765861200000000000,1
O:AA260320C00065000,1,0.48,0.48,0.48,0.48,1765861200000000000,1
O:AA260320C00070000,36,0.31,0.32,0.32,0.31,1765861200000000000,2
O:AA260320P00035000,5,0.77,0.77,0.77,0.77,1765861200000000000,1
O:AA260320P00040000,8,1.76,1.83,1.83,1.76,1765861200000000000,4
O:AA260320P00042000,7,2.38,2.5,2.5,2.38,1765861200000000000,5
O:AA260320P00045000,4,3.8,3.8,3.8,3.8,1765861200000000000,3
O:AA260320P00047000,1,4.6,4.6,4.6,4.6,1765861200000000000,1
O:AA260320P00049000,1,5.9,5.9,5.9,5.9,1765861200000000000,1
O:AA260417C00045000,81,5.83,5.75,5.83,5.75,1765861200000000000,2
O:AA260417C00047000,1,5.27,5.27,5.27,5.27,1765861200000000000,1
O:AA260417C00048000,37,4.4,4.85,4.85,4.4,1765861200000000000,9
O:AA260417C00050000,2,3.75,4,4,3.75,1765861200000000000,2
O:AA260417C00055000,6,2.2,2.53,2.53,2.2,1765861200000000000,2
O:AA260417C00070000,1,0.53,0.53,0.53,0.53,1765861200000000000,1
O:AA260417P00035000,1,1.06,1.06,1.06,1.06,1765861200000000000,1
O:AA260417P00040000,14,2.24,2.24,2.24,2.24,1765861200000000000,1
O:AA260417P00043000,23,3.25,3.25,3.25,3.25,1765861200000000000,4
O:AA260417P00044000,7,3.7,3.7,3.7,3.7,1765861200000000000,1
O:AA260417P00045000,36,4.15,4.1,4.4,4.1,1765861200000000000,16
O:AA260417P00046000,8,4.65,4.65,4.65,4.65,1765861200000000000,3
O:AA260417P00047000,28,5.15,5.21,5.21,5.15,1765861200000000000,5
O:AA260417P00048000,35,5.7,5.65,5.99,5.65,1765861200000000000,13
O:AA260417P00049000,11,6.3,6.35,6.35,6.3,1765861200000000000,2
O:AA260618C00035000,3,13.55,13.55,13.55,13.55,1765861200000000000,3
O:AA260618C00045000,6,7.08,7.65,7.65,7.02,1765861200000000000,5
O:AA260618C00050000,107,4.85,4.85,4.85,4.85,1765861200000000000,3
O:AA260618C00055000,18,3.65,3.35,3.65,3.25,1765861200000000000,8
O:AA260618C00060000,5,2.36,2.35,2.36,2.29,1765861200000000000,5
O:AA260618C00065000,83,1.7,1.51,1.7,1.48,1765861200000000000,10
O:AA260618P00040000,10,3.2,3.1,3.2,3.1,1765861200000000000,6
O:AA260618P00045000,2,5.25,5.25,5.25,5.25,1765861200000000000,2
O:AA260717C00050000,20,5.53,5.53,5.53,5.53,1765861200000000000,2
O:AA260918C00047000,1,8,8,8,8,1765861200000000000,1
O:AA260918C00055000,3,5,5,5,5,1765861200000000000,1
O:AA260918C00065000,20,2.76,2.76,2.76,2.76,1765861200000000000,1
O:AA260918P00038000,6,2.98,2.98,2.98,2.98,1765861200000000000,1
O:AA260918P00065000,7,20.05,20,20.1,20,1765861200000000000,6
O:AA261218C00030000,1,19,19,19,19,1765861200000000000,1
O:AA261218C00045000,5,10.15,10.15,10.15,10.15,1765861200000000000,1
O:AA261218C00050000,22,8.5,8.3,8.5,7.7,1765861200000000000,5
O:AA261218C00055000,2,6.41,6.41,6.41,6.41,1765861200000000000,1
O:AA261218C00070000,1,3.2,3.2,3.2,3.2,1765861200000000000,1
O:AA261218P00022500,1,0.64,0.64,0.64,0.64,1765861200000000000,1
O:AA261218P00025000,2,0.9,1.03,1.03,0.9,1765861200000000000,2
O:AA261218P00030000,2,1.54,1.98,1.98,1.54,1765861200000000000,2
O:AA261218P00045000,5,7.45,7.45,7.45,7.45,1765861200000000000,2
O:AA270115C00040000,14,13.2,13.25,13.25,13.2,1765861200000000000,4
O:AA270115C00045000,14,10.18,10.43,10.55,10.18,1765861200000000000,7
O:AA270115C00047000,21,9.8,9.5,9.8,9.5,1765861200000000000,2
O:AA270115C00060000,10,5.13,5.13,5.13,5.13,1765861200000000000,1
O:AA270115C00065000,18,4.05,4.48,4.48,4.05,1765861200000000000,3
O:AA270115P00022500,10,1,1,1,1,1765861200000000000,1
O:AA270115P00025000,10,1.25,1.25,1.25,1.25,1765861200000000000,1
O:AA270115P00030000,25,2.12,2.2,2.2,2.12,1765861200000000000,2
O:AA270115P00033000,15,3.05,3.05,3.05,3.05,1765861200000000000,1
O:AA270115P00047000,20,8.75,8.75,8.75,8.75,1765861200000000000,1
O:AA280121C00017500,62,30.12,30.13,30.39,30.05,1765861200000000000,27
O:AA280121C00040000,11,16.45,16.65,16.65,16.15,1765861200000000000,9
O:AA280121C00055000,11,10.5,11,11,10.5,1765861200000000000,2
O:AA280121C00060000,10,8.73,8.73,8.73,8.73,1765861200000000000,1
O:AA280121C00070000,1,7,7,7,7,1765861200000000000,1
O:AA280121P00020000,1,1.32,1.32,1.32,1.32,1765861200000000000,1
O:AA280121P00025000,1,2.16,2.16,2.16,2.16,1765861200000000000,1
O:AAAU251219C00038000,1,4.6,4.6,4.6,4.6,1765861200000000000,1
O:AAAU251219C00041000,9,1.8,1.6,1.8,1.58,1765861200000000000,3
O:AAAU251219C00042000,2,0.75,0.7,0.75,0.7,1765861200000000000,2
O:AAAU251219C00043000,38,0.3,0.2,0.3,0.2,1765861200000000000,4
O:AAAU260116C00041000,1,2.1,2.1,2.1,2.1,1765861200000000000,1
O:AAAU260116C00042000,2,1.32,1.32,1.32,1.32,1765861200000000000,1
O:AAAU260116C00043000,1,0.66,0.66,0.66,0.66,1765861200000000000,1
O:AAAU260116P00042000,1,0.65,0.65,0.65,0.65,1765861200000000000,1
O:AAAU260320C00040000,1,3.5,3.5,3.5,3.5,1765861200000000000,1
O:AAAU260618C00038000,20,5.6,5.6,5.6,5.6,1765861200000000000,1
O:AAAU260618C00040000,2,4.4,4.4,4.4,4.4,1765861200000000000,2
O:AAL251219C00001000,51,14.9,14.86,15.03,14.45,1765861200000000000,10
O:AAL251219C00002000,55,13.92,13.77,14.05,13.47,1765861200000000000,11
O:AAL251219C00003000,16,12.6,12.82,12.82,12.6,1765861200000000000,4
O:AAL251219C00004000,24,11.6,11.73,12,11.6,1765861200000000000,8
O:AAL251219C00005000,39,10.68,11.23,11.23,10.6,1765861200000000000,10
O:AAL251219C00006000,43,9.7,10.25,10.25,9.59,1765861200000000000,14
O:AAL251219C00007000,30,8.66,9.02,9.02,8.6,1765861200000000000,14
O:AAL251219C00007500,7,7.98,8.32,8.32,7.98,1765861200000000000,3
O:AAL251219C00008000,20,7.63,8.7,8.7,7.5,1765861200000000000,7
O:AAL251219C00008500,18,7.15,8.22,8.22,6.75,1765861200000000000,6
O:AAL251219C00009000,21,6.67,6.83,6.83,6.67,1765861200000000000,5
O:AAL251219C00009500,32,6.35,6.37,6.37,6.2,1765861200000000000,7
O:AAL251219C00010000,9,5.87,5.85,5.87,5.76,1765861200000000000,5
O:AAL251219C00011000,5,4.7,4.93,4.93,4.7,1765861200000000000,5
O:AAL251219C00011500,2,4.5,4.5,4.5,4.5,1765861200000000000,1
